ArrSize, Avg, Min, Max, Accuracy
26401,1.938256,1.830840,2.017045,100
26501,1.835032,1.814233,1.869552,100
26601,1.836988,1.820871,1.892109,100
26701,1.853970,1.764765,1.925733,100
26801,1.813224,1.786314,1.845565,100
26901,1.884113,1.855991,1.926843,100
27001,1.885293,1.820007,1.909633,100
27101,1.841552,1.787130,1.890853,100
27201,1.797209,1.748355,1.884379,100
27301,1.851124,1.774441,1.864803,100
27401,1.844375,1.824970,1.944893,100
27501,1.807549,1.778044,1.850587,100
27601,1.852337,1.836673,1.864208,100
27701,1.827946,1.775640,1.928017,100
27801,1.926021,1.778713,2.068810,100
27901,1.866223,1.766245,1.894843,100
28001,1.846559,1.766580,1.917789,100
28101,1.786228,1.746913,1.934949,100
28201,1.845191,1.772916,1.860466,100
28301,1.803755,1.775167,1.823151,100
28401,1.825395,1.809126,1.849829,100
28501,1.851790,1.781516,1.894811,100
28601,1.871563,1.805426,1.898290,100
28701,1.801984,1.749869,1.900143,100
28801,1.789423,1.757995,1.828756,100
28901,1.811423,1.766479,1.839902,100
29001,1.829585,1.798593,1.891900,100
29101,1.910150,1.758496,2.008247,100
29201,1.830716,1.783055,1.859936,100
29301,1.792078,1.751032,1.899662,100
29401,1.891847,1.743648,1.947553,100
29501,1.838845,1.804481,1.892783,100
29601,1.827263,1.786325,1.855005,100
29701,1.832690,1.802970,1.866671,100
29801,1.835584,1.798698,1.858629,100
29901,1.830375,1.809337,1.851744,100
30001,1.849412,1.809673,1.890970,100
30101,1.806184,1.797183,1.859506,100
30201,1.830216,1.744876,1.862885,100
30301,1.754932,1.728161,1.795716,100
30401,1.861795,1.752081,1.978652,100
30501,1.841470,1.798039,1.898528,100
30601,1.894693,1.845887,1.958661,100
30701,1.921281,1.908309,1.936158,100
30801,1.912523,1.896627,1.925847,100
30901,1.878274,1.814634,1.937737,100
31001,1.802566,1.791716,1.882230,100
31101,1.806920,1.795827,1.824411,100
31201,1.863628,1.821128,1.890420,100
31301,1.911304,1.894828,1.975464,100
31401,1.787999,1.718448,1.930066,100
31501,1.814215,1.796006,1.823625,100
31601,1.872714,1.829151,1.974083,100
31701,1.912748,1.851582,2.038548,100
31801,1.824416,1.755574,1.850256,100
31901,1.745340,1.706968,1.832262,100
32001,1.791757,1.780788,1.823599,100
32101,1.788909,1.734183,1.816704,100
32201,1.874508,1.847955,1.919630,100
32301,1.806344,1.792050,1.828550,100
32401,1.831994,1.785778,1.894509,100
32501,1.848653,1.720747,1.958463,100
32601,1.828560,1.751511,1.897334,100
32701,1.823742,1.781291,1.964313,100
32801,1.846277,1.728697,1.948294,100
32901,1.874163,1.849184,1.883621,100
33001,1.806646,1.744250,1.821672,100
33101,1.830296,1.811486,1.834023,100
33201,1.851228,1.747990,1.962200,100
33301,1.809967,1.785262,1.835861,100
33401,1.788854,1.748391,1.837041,100
33501,1.778398,1.761709,1.793320,100
33601,1.837222,1.729651,1.878724,100
33701,1.816196,1.804012,1.828314,100
33801,1.841891,1.821603,1.874205,100
33901,1.855340,1.839179,1.877083,100
34001,1.840762,1.780095,1.869886,100
34101,1.806124,1.769362,1.852350,100
34201,1.780180,1.772375,1.788281,100
34301,1.794934,1.774321,1.895426,100
34401,1.823811,1.812912,1.846371,100
34501,1.805690,1.790325,1.840758,100
34601,1.838428,1.774862,1.926274,100
34701,1.902318,1.798594,1.951932,100
34801,1.771327,1.742479,1.829085,100
34901,1.876651,1.779118,1.913842,100
35001,1.846049,1.810348,1.886718,100
35101,1.801393,1.771146,1.916698,100
35201,1.769183,1.721144,1.801568,100
35301,1.784229,1.782726,1.789893,100
35401,1.761491,1.720573,1.883167,100
35501,1.874611,1.847920,1.903383,100
35601,1.853411,1.779781,1.893430,100
35701,1.859277,1.807148,1.909666,100
35801,1.894184,1.838636,1.950811,100
35901,1.798924,1.795437,1.801733,100
36001,1.829376,1.756423,1.871170,100
36101,1.847488,1.756821,1.892912,100
36201,1.829087,1.796414,1.877379,100
36301,1.817938,1.801080,1.940718,100
36401,1.847689,1.820609,1.882476,100
36501,1.878301,1.767486,1.953892,100
36601,1.793547,1.746318,1.843447,100
36701,1.855264,1.805809,1.889431,100
36801,1.828215,1.756066,1.887367,100
36901,1.820320,1.743042,1.872605,100
37001,1.822516,1.768331,1.870544,100
37101,1.856930,1.795396,1.917495,100
37201,1.840528,1.810892,1.871939,100
37301,1.814763,1.788317,1.875365,100
37401,1.809449,1.760675,1.826021,100
37501,1.793642,1.729874,1.935388,100
37601,1.780815,1.746124,1.816601,100
37701,1.797856,1.763667,1.833612,100
37801,1.537474,1.776620,1.798180,100
37901,1.877336,1.855914,1.925332,100
38001,1.795915,1.792216,1.865925,100
38101,1.821446,1.777355,1.869321,100
38201,1.820093,1.745504,1.877857,100
38301,1.826479,1.777839,1.869377,100
38401,1.807512,1.759095,1.875785,100
38501,1.786717,1.776499,1.827459,100
38601,1.848163,1.763063,1.940675,100
38701,1.769146,1.689052,1.805819,100
38801,1.820758,1.724311,1.857993,100
38901,1.815242,1.782294,1.836585,100
39001,1.816776,1.760647,1.831338,100
39101,1.839550,1.733766,1.916498,100
39201,1.809380,1.779266,1.851560,100
39301,1.825179,1.716598,1.900715,100
39401,1.781122,1.755793,1.835512,100
39501,1.797029,1.768664,1.892864,100
39601,1.832513,1.810156,1.852883,100
39701,1.802424,1.780283,1.838896,100
39801,1.872072,1.762142,1.921309,100
39901,1.872385,1.808651,1.930503,100
40001,1.844913,1.809905,1.900903,100
40101,1.855899,1.802948,1.896137,100
40201,1.770470,1.741001,1.826124,100
40301,1.787415,1.737476,1.937942,100
40401,1.794756,1.775204,1.807158,100
40501,1.817523,1.758376,1.894274,100
40601,1.803365,1.741460,1.890027,100
40701,1.810718,1.717968,1.911845,100
40801,1.788433,1.778069,1.823142,100
40901,1.798067,1.754945,1.832767,100
41001,1.811114,1.766323,1.911880,100
41101,1.821784,1.804749,1.851634,100
41201,1.848556,1.832019,1.866654,100
41301,1.803014,1.746762,1.849132,100
41401,1.826501,1.726311,1.842371,100
41501,1.844293,1.836438,1.864823,100
41601,1.790887,1.775823,1.806014,100
41701,1.766510,1.731397,1.808494,100
41801,1.877724,1.807971,1.938949,100
41901,1.868289,1.756760,1.975036,100
42001,1.790591,1.741030,1.844456,100
42101,1.725376,1.691242,1.793924,100
42201,1.827548,1.812658,1.860690,100
42301,1.829736,1.800336,1.888064,100
42401,1.808872,1.754959,1.900851,100
42501,1.808301,1.749018,1.869109,100
42601,1.822864,1.813220,1.833314,100
42701,1.843520,1.800801,1.900728,100
42801,1.826195,1.775613,1.851592,100
42901,1.791065,1.757651,1.875108,100
43001,1.774602,1.745099,1.803516,100
43101,1.837078,1.780307,1.875873,100
43201,1.827423,1.700678,1.933636,100
43301,1.802946,1.748828,1.843653,100
43401,1.810556,1.722518,1.822055,100
43501,1.769699,1.747178,1.811039,100
43601,1.761562,1.743056,1.800945,100
43701,1.800613,1.780028,1.834489,100
43801,1.809311,1.731376,1.899158,100
43901,1.826978,1.771121,1.878294,100
44001,1.831371,1.760665,1.910638,100
44101,1.810978,1.803134,1.819392,100
44201,1.816810,1.799733,1.828986,100
44301,1.802266,1.711496,1.873028,100
44401,1.802056,1.766199,1.888088,100
44501,1.835203,1.766230,1.853644,100
44601,1.807151,1.747405,1.850250,100
44701,1.818032,1.756314,1.872151,100
44801,1.804396,1.759336,1.862793,100
44901,1.828490,1.783479,1.864791,100
45001,1.800103,1.762939,1.844492,100
45101,1.824517,1.776746,1.865834,100
45201,1.823438,1.754762,1.877525,100
45301,1.825598,1.763736,1.851173,100
45401,1.806975,1.757164,1.860774,100
45501,1.786992,1.753302,1.809675,100
45601,1.788313,1.768536,1.849236,100
45701,1.773976,1.712960,1.859631,100
45801,1.837342,1.771053,1.895199,100
45901,1.771093,1.754276,1.796431,100
46001,1.735272,1.690420,1.753679,100
46101,1.794159,1.752912,1.800308,100
46201,1.791717,1.750720,1.852644,100
46301,1.817311,1.727544,1.842120,100
46401,1.814766,1.755544,1.888623,100
46501,1.798389,1.743489,1.842046,100
46601,1.877313,1.860711,1.900367,100
46701,1.826992,1.788163,1.852059,100
46801,1.774864,1.735967,1.810795,100
46901,1.842985,1.820345,1.859214,100
47001,1.791689,1.768792,1.843152,100
47101,1.764166,1.727628,1.810047,100
47201,1.791944,1.731235,1.864240,100
47301,1.827193,1.745587,1.933194,100
47401,1.869167,1.820784,1.943419,100
47501,1.743691,1.698975,1.794320,100
47601,1.773880,1.771013,1.827147,100
47701,1.824341,1.760487,1.874049,100
47801,1.791253,1.739901,1.832242,100
47901,1.769568,1.721300,1.801403,100
48001,1.768974,1.717818,1.853628,100
48101,1.828958,1.727636,1.892081,100
48201,1.760645,1.771540,1.801519,100
48301,1.794731,1.712511,1.840811,100
48401,1.813197,1.781802,1.829962,100
48501,1.777910,1.721985,1.823880,100
48601,1.810840,1.773955,1.842534,100
48701,1.773707,1.722737,1.844541,100
48801,1.819061,1.744104,1.898240,100
48901,1.814610,1.757858,1.844400,100
49001,1.753472,1.708679,1.796984,100
49101,1.774000,1.735790,1.813283,100
49201,1.795438,1.744802,1.885714,100
49301,1.783932,1.725401,1.829618,100
49401,1.836419,1.825105,1.854800,100
49501,1.790995,1.745944,1.894123,100
49601,1.791536,1.750771,1.820407,100
49701,1.824329,1.778314,1.868051,100
49801,1.789327,1.768780,1.806068,100
49901,1.787722,1.752590,1.796738,100
50000,1.864032,1.829280,1.913600,100
51000,1.824508,1.724059,1.975588,100
52000,1.782448,1.760827,1.835596,100
53000,1.804817,1.761075,1.827641,100
54000,1.870250,1.788630,1.904333,100
55000,1.811143,1.760236,1.925709,100
56000,1.756290,1.727732,1.792893,100
57000,1.761888,1.712281,1.826772,100
58000,1.762531,1.710552,1.821655,100
59000,1.773813,1.738559,1.844729,100
60000,1.791215,1.751650,1.816317,100
61000,1.776690,1.718508,1.842705,100
62000,1.789970,1.752000,1.802548,100
63000,1.776112,1.728476,1.845778,100
64000,1.870018,1.702922,1.901359,100
65000,1.783086,1.728338,1.864062,100
66000,1.806678,1.747303,1.863167,100
67000,1.806863,1.756119,1.834134,100
68000,1.807688,1.711485,1.902662,100
69000,1.724865,1.719290,1.736072,100
70000,1.730920,1.665071,1.895457,100
71000,1.774422,1.715859,1.872056,100
72000,1.705325,1.672736,1.736069,100
73000,1.750942,1.717274,1.808959,100
74000,1.751274,1.716635,1.794500,100
75000,1.778438,1.727253,1.802360,100
76000,1.774266,1.736684,1.851487,100
77000,1.791652,1.706091,1.846169,100
78000,1.785497,1.700218,1.814744,100
79000,1.709225,1.667506,1.772975,100
80000,1.754652,1.691050,1.813000,100
81000,1.747866,1.710309,1.801593,100
82000,1.753316,1.711524,1.795939,100
83000,1.745669,1.734193,1.757627,100
84000,1.734261,1.697845,1.775917,100
85000,1.729941,1.686812,1.792506,100
86000,1.723668,1.654023,1.805756,100
87000,1.731906,1.706793,1.783552,100
88000,1.763358,1.720580,1.795352,100
89000,1.727897,1.724360,1.810888,100
90000,1.770726,1.755444,1.807189,100
91000,1.786042,1.707538,1.886286,100
92000,1.771383,1.733946,1.795913,100
93000,1.754692,1.710774,1.813538,100
94000,1.738771,1.683840,1.815117,100
95000,1.772105,1.695558,1.856053,100
96000,1.765210,1.724156,1.794833,100
97000,1.711517,1.658670,1.751876,100
98000,1.730811,1.712082,1.794337,100
99000,1.711715,1.658131,1.771576,100
100000,1.748726,1.700700,1.794240,100
100001,1.722343,1.645464,1.789152,100
110001,1.712824,1.666649,1.801847,100
120001,1.716444,1.678494,1.785502,100
130001,1.705408,1.687818,1.736341,100
140001,1.724474,1.671831,1.754937,100
150001,1.700542,1.676169,1.736002,100
160001,1.736277,1.706189,1.771295,100
170001,1.714341,1.685649,1.752290,100
180001,1.704534,1.649580,1.765318,100
190001,1.708381,1.666796,1.753301,100
200001,1.725102,1.677987,1.754011,100
210001,1.687156,1.662506,1.729935,100
220001,1.689066,1.632861,1.729519,100
230001,1.698480,1.666701,1.738571,100
